,DPSA1,FNSA3,FPSA1,MW,nCl,FPSA3,nH,MOMI-X,MOMI-Y,MOMI-Z,FilterItLogS,SLogP,label
954,112.29760747521328,-0.09996352996709752,0.6052687542819332,319.09497533600063,0,0.05172029907347984,23,4098.732555927717,3792.635519072564,1021.6275653088942,0.3907869658512785,0.4999999999999996,1
955,301.26231168517893,-0.07674907224643927,0.7066148823725328,438.2954536960009,0,0.04743487273651047,38,7137.8397489392855,6390.439984735442,3356.5268226880607,-2.9305899327018063,0.3700700000000037,0
956,381.7983205791169,-0.04046125973529515,0.6933701744815952,642.4235466680017,1,0.02633907108819891,59,19113.67154911782,18675.831103760007,4340.42269973494,-4.078165353186709,2.514900000000005,0
957,72.49654644975459,-0.14672625563267785,0.5680225539258668,332.1331989800004,0,0.06503820529878555,20,2736.957303071558,2551.3363899403353,2031.1927058382894,1.6345378952246394,-3.5758299999999976,0
958,212.12262505573426,-0.09947946648713007,0.5683430799784464,1269.4383505320016,0,0.045202613357117706,71,87343.18031252468,84661.23280810704,19707.88881195197,-3.657200009522751,-3.9019999999999966,1
959,248.0461856729825,-0.02894817933538343,0.7234956956243849,263.1997624200002,0,0.03379866122370414,25,5424.10357853813,5130.503514704468,426.51869382493174,-4.861389574072474,2.8130400000000013,1
960,-241.7617117720086,-0.10374827660570228,0.1916110227871976,227.00257874,0,0.019056286051097045,5,2192.0748537383524,1765.8819811095684,554.5087275149107,0.010540163045914321,-1.0200999999999996,1
961,33.71223853363341,-0.07237532589121738,0.5284630361797218,366.1022721480005,1,0.034570884802078865,19,8870.849939066367,8326.177397210922,754.2279935889445,-5.7556124110097695,5.505100000000005,1
962,339.5413359667228,-0.03189923017519212,0.8171230816359444,254.185509324,0,0.04617897112738613,22,3192.480554077351,2073.0892790805,1218.266308783944,-3.633405831380408,1.5130000000000001,1
963,193.05057701936147,-0.05061545061026216,0.6849446193211465,263.1997624200002,0,0.039469980812790594,25,3466.024738452545,3205.5142762281853,685.2679123249583,-3.4336095740724737,1.1901000000000006,0
964,232.38122215556126,-0.06979549039816946,0.6996630365071549,309.19400834400074,0,0.043820530122106315,27,6343.4477605991415,5844.712093646089,810.3504077982478,-2.71170091042156,0.6347999999999998,1
965,8.155942276967266,-0.09135627402795186,0.5086555005724015,254.094294308,0,0.03774346676465538,14,2446.0789380085184,1875.3347445747627,1004.760993358532,-3.3146535256388288,3.105700000000001,0
966,-28.430490211231128,-0.14047908923184282,0.4771446348451812,478.11429337600055,1,0.04357776980915418,23,8149.4619999804045,6906.024238179906,2213.246343865546,-2.1003240209802896,0.4390000000000007,1
967,101.31991322546207,-0.057212741963152625,0.6033456718826676,270.1038134360004,0,0.03190428006462618,18,2486.719446784975,1740.6186976124163,1183.5040058867642,-3.758657129686776,1.78302,1
968,-68.81993220934368,-0.08116139828221737,0.4557290446897918,525.1709256040007,0,0.02030601260896815,27,14920.818046562285,14044.605989627764,3104.0341528549525,-7.255241235958486,4.629280000000003,1
969,114.87440125837476,-0.09903489180307556,0.6018619835193216,339.1252771520005,0,0.0457747322961215,21,4654.8309482584355,4345.779854520105,1232.8246008316628,-0.2830792110477033,0.6987700000000001,0
970,-75.8979547155007,-0.07882877385835778,0.4322538791366497,384.9957755440004,1,0.037571512811662384,12,7943.808654830744,7517.517402390648,850.0927197579857,-4.682739960391152,2.2695,1
971,46.82701372286114,-0.0951269896360895,0.5266373744061685,627.1529655080008,0,0.03375564881703781,29,18975.81465691316,16899.756602301008,4340.860251745229,-0.7166445899038292,-2.8353999999999915,0
972,79.96266233495328,-0.0657619451264039,0.5591968750370041,434.1639690800007,0,0.030591513451386762,25,8814.840221462171,6952.036903490926,3124.6781753909477,-5.870090320753334,4.6017000000000055,1
973,195.8067862248496,-0.047268789931203335,0.6304466232283696,457.18806743600084,1,0.037296959836986235,28,13950.788448742302,12345.968567450003,3209.5998736899796,-4.865040845321811,3.2257000000000016,1
974,26.428455228822315,-0.09722206953508856,0.5226224224675928,364.1092927400005,0,0.039109289740642365,20,4821.696655261787,2857.7422940986494,2453.990111314245,-4.139258249270556,3.0365,0
975,185.30865142306962,-0.0779342072903517,0.6338741073106999,459.24210140800085,0,0.03517066748194229,34,8682.033174994376,6351.459636625363,3335.416104101809,-5.480154045016361,4.8807000000000045,0
